anno,c02
2010,10
2010,12
2010,14
2010,16
2010,18
2010,20
2010,22
2010,24
2010,26
2010,28
2010,30
2010,32
2010,34
2010,36
2010,38
2010,40
2011,10
2011,12
2011,14
2011,16
2011,18
2011,20
2011,22
2011,24
2011,26
2011,28
2011,30
2011,32
2011,34
2011,36
2011,38
2011,40
2012,10
2012,12
2012,14
2012,16
2012,18
2012,20
2012,22
2012,24
2012,26
2012,28
2012,30
2012,32
2012,34
2012,36
2012,38
2012,40
2013,10
2013,12
2013,14
2013,16
2013,18
2013,20
2013,22
2013,24
2013,26
2013,28
2013,30
2013,32
2013,34
2013,36
2013,38
2013,40
2014,10
2014,12
2014,14
2014,16
2014,18
2014,20
2014,22
2014,24
2014,26
2014,28
2014,30
2014,32
2014,34
2014,36
2014,38
2014,40
2015,10
2015,12
2015,14
2015,16
2015,18
2015,20
2015,22
2015,26
2015,28
2015,30
2015,32
2015,34
2015,36
2015,38
2015,40
2016,10
2016,12
2016,14
2016,16
2016,18
2016,20
2016,22
2016,26
2016,28
2016,30
2016,32
2016,34
2016,36
2016,38
2016,40
2017,10
2017,12
2017,14
2017,16
2017,18
2017,20
2017,22
2017,26
2017,28
2017,30
2017,32
2017,34
2017,36
2017,38
2017,40
2018,10
2018,12
2018,14
2018,16
2018,18
2018,20
2018,22
2018,26
2018,28
2018,30
2018,32
2018,34
2018,36
2018,38
2018,40
2019,10
2019,12
2019,14
2019,16
2019,18
2019,20
2019,22
2019,26
2019,28
2019,30
2019,32
2019,34
2019,36
2019,38
2019,40
2020,10
2020,12
2020,14
2020,16
2020,18
2020,20
2020,22
2020,26
2020,28
2020,30
2020,32
2020,34
2020,36
2020,38
2020,40
2021,10
2021,12
2021,14
2021,16
2021,18
2021,20
2021,22
2021,26
2021,28
2021,30
2021,32
2021,34
2021,36
2021,38
2021,40
2022,10
2022,12
2022,14
2022,16
2022,18
2022,20
2022,22
2022,26
2022,28
2022,30
2022,32
2022,34
2022,36
2022,38
2022,40
